city,clustering_coefficient,hierarchy
七台河市,0.0036078756451313016,普通地级市
三亚市,0.003586591996510497,普通地级市
三明市,0.0032920398179647646,普通地级市
三门峡市,0.003438174818765421,普通地级市
上海市,0.0030756919407256703,直辖市
上饶市,0.003229217007857202,普通地级市
东莞市,0.0031643689688563266,普通地级市
东营市,0.0033286311116474524,普通地级市
中卫市,0.00396514397701145,普通地级市
中山市,0.003161091420980116,普通地级市
临汾市,0.003258012032584535,普通地级市
临沂市,0.0031862215919139622,普通地级市
临沧市,0.003681472164548631,普通地级市
丹东市,0.003442448852519793,普通地级市
丽水市,0.003358789954456287,普通地级市
丽江市,0.0038871322247596984,普通地级市
乌兰察布市,0.003540115426738868,普通地级市
乌海市,0.0036322553381015893,普通地级市
乌鲁木齐市,0.0032578829632184535,省会城市
乐山市,0.003446659044744729,普通地级市
九江市,0.0032973947779580595,普通地级市
云浮市,0.0034330178206637926,普通地级市
亳州市,0.003423866327216422,普通地级市
伊春市,0.003589359267869057,普通地级市
佛山市,0.0031058461219724987,普通地级市
佳木斯市,0.003524105661067208,普通地级市
保定市,0.003139382889531857,普通地级市
保山市,0.003490412281880003,普通地级市
信阳市,0.003326045349844511,普通地级市
儋州市,0.003541488511715066,普通地级市
克拉玛依市,0.003677628151955932,普通地级市
六安市,0.003424440145534125,普通地级市
六盘水市,0.003720946762073125,普通地级市
兰州市,0.0032170427763602775,省会城市
内江市,0.0034686199422596983,普通地级市
包头市,0.0033143662070040754,普通地级市
北京市,0.0030408070525140057,直辖市
北海市,0.003591899451859513,普通地级市
十堰市,0.0033699517756547,普通地级市
南京市,0.003145497129491321,副省级城市
南充市,0.0033039827158418294,普通地级市
南宁市,0.003198525624382054,省会城市
南平市,0.0033280842255991915,普通地级市
南昌市,0.003161941550188049,省会城市
南通市,0.0031993311771275363,普通地级市
南阳市,0.003169009172729515,普通地级市
厦门市,0.0032005923710579066,副省级城市
双鸭山市,0.003543232804522334,普通地级市
台州市,0.0032150364383409023,普通地级市
合肥市,0.0031216079428967487,省会城市
吉安市,0.0033026761809158813,普通地级市
吉林市,0.003136372842167867,普通地级市
吐鲁番市,0.003964725474508768,普通地级市
吕梁市,0.0033179561494349388,普通地级市
吴忠市,0.003711985198927156,普通地级市
周口市,0.0033056605289076835,普通地级市
呼伦贝尔市,0.003492773382521085,普通地级市
呼和浩特市,0.0032014955716024355,省会城市
咸宁市,0.0034325728929839876,普通地级市
咸阳市,0.003288088433624296,普通地级市
哈密市,0.003621366432698976,普通地级市
哈尔滨市,0.0031847062312794507,副省级城市
唐山市,0.0031378140504655806,普通地级市
商丘市,0.003281528146107787,普通地级市
商洛市,0.0035464813956882597,普通地级市
嘉兴市,0.0032134815734138206,普通地级市
嘉峪关市,0.004099320310592716,普通地级市
四平市,0.003422262446731874,普通地级市
固原市,0.0037457852470151893,普通地级市
大同市,0.0034090331675951054,普通地级市
大庆市,0.003322515050670846,普通地级市
大连市,0.003201897212961686,副省级城市
天水市,0.0033543291666732586,普通地级市
天津市,0.003132678069617526,直辖市
太原市,0.0031366547280123358,省会城市
威海市,0.003337382733983201,普通地级市
娄底市,0.003378324468804272,普通地级市
孝感市,0.003237401397475709,普通地级市
宁德市,0.003329402204749321,普通地级市
宁波市,0.0031752063763567594,副省级城市
安庆市,0.003391417632565083,普通地级市
安康市,0.0035732198066736275,普通地级市
安阳市,0.0032836383378700433,普通地级市
安顺市,0.003728768444865399,普通地级市
定西市,0.0035516659548069196,普通地级市
宜宾市,0.0033396120150513855,普通地级市
宜昌市,0.00333593824956821,普通地级市
宜春市,0.0032304697381602228,普通地级市
宝鸡市,0.003358073058623004,普通地级市
宣城市,0.0034686150112297333,普通地级市
宿州市,0.003374711447614952,普通地级市
宿迁市,0.003288007729001414,普通地级市
山南市,0.0042913975088017635,普通地级市
岳阳市,0.0032666227717364337,普通地级市
崇左市,0.0035192670348061722,普通地级市
巴中市,0.003565072380238528,普通地级市
巴彦淖尔市,0.003530988088117271,普通地级市
常州市,0.003197875994678029,普通地级市
常德市,0.0033486752635083555,普通地级市
平凉市,0.003458181914720132,普通地级市
平顶山市,0.0033155819070769988,普通地级市
广元市,0.0035182840786422104,普通地级市
广安市,0.0034648042750110622,普通地级市
广州市,0.0030999913683699845,副省级城市
庆阳市,0.0036679962114219812,普通地级市
廊坊市,0.0031611244869662785,普通地级市
延安市,0.0036128817595510554,普通地级市
开封市,0.0033858477204835214,普通地级市
张家口市,0.0033883778478378387,普通地级市
张家界市,0.003814411307725779,普通地级市
张掖市,0.0035124776980159293,普通地级市
徐州市,0.003224833256991485,普通地级市
德州市,0.003304726923128871,普通地级市
德阳市,0.003323493227151584,普通地级市
忻州市,0.003387228744438768,普通地级市
怀化市,0.003311393488456873,普通地级市
惠州市,0.003240828142166772,普通地级市
成都市,0.0031534668974604134,副省级城市
扬州市,0.0032373049579043356,普通地级市
承德市,0.003452725493614352,普通地级市
抚州市,0.0032815092132152633,普通地级市
抚顺市,0.0033365351716078007,普通地级市
拉萨市,0.003596435534771225,省会城市
揭阳市,0.0033386075174768126,普通地级市
攀枝花市,0.00376310372128384,普通地级市
新乡市,0.0031096856895025246,普通地级市
新余市,0.003387582004720942,普通地级市
无锡市,0.0031765173648840824,普通地级市
日喀则市,0.004049299175818401,普通地级市
日照市,0.0033627105334408875,普通地级市
昆明市,0.0031873124594052134,省会城市
昌都市,0.004157131165134388,普通地级市
昭通市,0.0035543580448387634,普通地级市
晋中市,0.003180378168834895,普通地级市
晋城市,0.003299956688787311,普通地级市
普洱市,0.0037481861584838447,普通地级市
景德镇市,0.0035175824889473843,普通地级市
曲靖市,0.0033734210335914644,普通地级市
朔州市,0.0034836375492216997,普通地级市
朝阳市,0.003552605316627569,普通地级市
本溪市,0.0033608267136731452,普通地级市
来宾市,0.003752467848131639,普通地级市
杭州市,0.0030884175188901227,副省级城市
松原市,0.0033457899201188774,普通地级市
林芝市,0.004319797203444311,普通地级市
枣庄市,0.0032451017148173527,普通地级市
柳州市,0.003334334564427812,普通地级市
株洲市,0.0032924438227578136,普通地级市
桂林市,0.003317720599188107,普通地级市
梅州市,0.0034013965522328065,普通地级市
梧州市,0.0032762322283494683,普通地级市
榆林市,0.003288104851475319,普通地级市
武威市,0.0036772907183874764,普通地级市
武汉市,0.003121485830046433,副省级城市
毕节市,0.00338078159867186,普通地级市
永州市,0.0033154148348529472,普通地级市
汉中市,0.003420334561376533,普通地级市
汕头市,0.003208752227034212,普通地级市
