city,clustering_coefficient,hierarchy
七台河市,1.0814029944485197,普通地级市
三亚市,1.0400622475143824,普通地级市
三明市,0.9830304104853688,普通地级市
三门峡市,1.0092156324543167,普通地级市
上海市,0.9080438547796356,直辖市
上饶市,0.9663247235483755,普通地级市
东莞市,0.9345335825538301,普通地级市
东营市,0.9828088276709684,普通地级市
中卫市,1.0974402360730158,普通地级市
中山市,0.9355131328758124,普通地级市
临汾市,0.964779283965541,普通地级市
临沂市,0.9574867810831352,普通地级市
临沧市,1.0632071982067657,普通地级市
丹东市,1.027290491345997,普通地级市
丽水市,0.9992648122446628,普通地级市
丽江市,1.1599373031516116,普通地级市
乌兰察布市,1.0653323217621697,普通地级市
乌海市,1.1223670435716369,普通地级市
乌鲁木齐市,0.9650431645045717,省会城市
乐山市,1.0184043257339526,普通地级市
九江市,0.9757785904303248,普通地级市
云浮市,1.0057735324266914,普通地级市
亳州市,0.9902363268569038,普通地级市
伊春市,1.0719105424173987,普通地级市
佛山市,0.9188504514218864,普通地级市
佳木斯市,1.0260187717412812,普通地级市
保定市,0.9265989630990367,普通地级市
保山市,1.0928837822306448,普通地级市
信阳市,0.9679499509796889,普通地级市
儋州市,1.092164824818241,普通地级市
克拉玛依市,1.1094775226778746,普通地级市
六安市,0.9923022601628747,普通地级市
六盘水市,1.082949428935754,普通地级市
兰州市,0.9592910927905418,省会城市
内江市,0.9910882923458956,普通地级市
包头市,0.9830081350643278,普通地级市
北京市,0.8977070840575158,直辖市
北海市,1.0626098603083338,普通地级市
十堰市,0.9964314696561558,普通地级市
南京市,0.9290614309264488,副省级城市
南充市,0.992654638358288,普通地级市
南宁市,0.9446842465888847,省会城市
南平市,0.981204177086026,普通地级市
南昌市,0.9389522170718221,省会城市
南通市,0.9449262547797885,普通地级市
南阳市,0.9595283065824602,普通地级市
厦门市,0.945432985849948,副省级城市
双鸭山市,1.048394542766917,普通地级市
台州市,0.9624195998963123,普通地级市
合肥市,0.9189420909179511,省会城市
吉安市,0.9878711861856606,普通地级市
吉林市,0.9710658518958392,普通地级市
吐鲁番市,1.2247500561648748,普通地级市
吕梁市,0.9814518752987049,普通地级市
吴忠市,1.0433589382341593,普通地级市
周口市,0.9470892983313398,普通地级市
呼伦贝尔市,1.041043385276676,普通地级市
呼和浩特市,0.9570850702405461,省会城市
咸宁市,1.0078926600621922,普通地级市
咸阳市,0.9728129004354683,普通地级市
哈密市,1.0853122483438267,普通地级市
哈尔滨市,0.9486935379861744,副省级城市
唐山市,0.9456462456135947,普通地级市
商丘市,0.9608056542602207,普通地级市
商洛市,1.0535904633425188,普通地级市
嘉兴市,0.9393518844354993,普通地级市
嘉峪关市,1.1929803877452334,普通地级市
四平市,0.9886151402365405,普通地级市
固原市,1.098091849426718,普通地级市
大同市,0.9897554158790491,普通地级市
大庆市,0.9692909797504508,普通地级市
大连市,0.9481816183245252,副省级城市
天水市,1.0227899116893389,普通地级市
天津市,0.9249040600583054,直辖市
太原市,0.9312444835664984,省会城市
威海市,0.9993167663229601,普通地级市
娄底市,0.9444795877093739,普通地级市
孝感市,0.9586580349640659,普通地级市
宁德市,0.9852734853383388,普通地级市
宁波市,0.9331915911564983,副省级城市
安庆市,0.9880588968783586,普通地级市
安康市,1.0576892824684585,普通地级市
安阳市,0.964034144928995,普通地级市
安顺市,0.9932944918217951,普通地级市
定西市,1.0126243261899979,普通地级市
宜宾市,1.0053179713777574,普通地级市
宜昌市,0.9793616353563295,普通地级市
宜春市,0.9686462324774233,普通地级市
宝鸡市,1.002675372948464,普通地级市
宣城市,0.9953017777341654,普通地级市
宿州市,0.9642478187170332,普通地级市
宿迁市,0.9654648362275303,普通地级市
山南市,1.1770763323013047,普通地级市
岳阳市,0.9969889293907174,普通地级市
崇左市,0.9666306222882238,普通地级市
巴中市,0.976136421202318,普通地级市
巴彦淖尔市,1.0716064003369732,普通地级市
常州市,0.9518507843474724,普通地级市
常德市,0.978482310744998,普通地级市
平凉市,1.0139155087954594,普通地级市
平顶山市,0.9520765110596844,普通地级市
广元市,1.0570496097679882,普通地级市
广安市,1.0259626256160301,普通地级市
广州市,0.9175924883281483,副省级城市
庆阳市,1.0285441362748515,普通地级市
廊坊市,0.9282162053191366,普通地级市
延安市,1.0166370345304923,普通地级市
开封市,0.9924174545799404,普通地级市
张家口市,0.9839170058636724,普通地级市
张家界市,1.1133074391603168,普通地级市
张掖市,1.0820600605039736,普通地级市
徐州市,0.9559035919518446,普通地级市
德州市,0.9634247889641787,普通地级市
德阳市,0.9762151498684309,普通地级市
忻州市,1.005933588254062,普通地级市
怀化市,1.0069355367734127,普通地级市
惠州市,0.963637534944944,普通地级市
成都市,0.9230714859601277,副省级城市
扬州市,0.9679171565529214,普通地级市
承德市,1.0027652785658574,普通地级市
抚州市,0.9876038888919995,普通地级市
抚顺市,0.9884323722356875,普通地级市
拉萨市,1.0753086777308347,省会城市
揭阳市,0.9820364654095642,普通地级市
攀枝花市,1.1312288713640812,普通地级市
新乡市,0.9356596643470289,普通地级市
新余市,0.9816347833166594,普通地级市
无锡市,0.9357101741534745,普通地级市
日喀则市,1.2223409943678474,普通地级市
日照市,0.9938000592658239,普通地级市
昆明市,0.9420074308050422,省会城市
昌都市,1.1956605829908689,普通地级市
昭通市,1.0584611811330633,普通地级市
晋中市,0.9243759907333232,普通地级市
晋城市,0.9768879684611004,普通地级市
普洱市,1.0666429520857252,普通地级市
景德镇市,1.0563278083608636,普通地级市
曲靖市,1.0021922126755556,普通地级市
朔州市,1.011711424223967,普通地级市
朝阳市,1.0276473490650824,普通地级市
本溪市,0.9978411007567956,普通地级市
来宾市,1.0301480454987249,普通地级市
杭州市,0.9156559931307617,副省级城市
松原市,1.0006254180719434,普通地级市
林芝市,1.2084186375450956,普通地级市
枣庄市,0.9590674361936143,普通地级市
柳州市,1.0041380746963966,普通地级市
株洲市,0.9824480697787344,普通地级市
桂林市,0.9904239199167587,普通地级市
梅州市,0.9983007486238938,普通地级市
梧州市,1.0031011121256057,普通地级市
榆林市,0.9856391412395501,普通地级市
武威市,1.0578668380437215,普通地级市
武汉市,0.9203088508913749,副省级城市
毕节市,1.0170811936450714,普通地级市
永州市,1.0077312050600074,普通地级市
汉中市,1.0173471131369638,普通地级市
汕头市,0.9615127846460941,普通地级市
汕尾市,1.014857473016389,普通地级市
江门市,0.9676643990153105,普通地级市
池州市,1.0402257244158701,普通地级市
