source_region,target_region,rank,source_city,target_city,distance
Northeast China,Northeast China,1,哈尔滨市,齐齐哈尔市,0.07376699149608612
Northeast China,Northeast China,2,哈尔滨市,佳木斯市,0.0753508061170578
Northeast China,Northeast China,3,长春市,哈尔滨市,0.0762360617518425
Northeast China,Northeast China,4,哈尔滨市,大庆市,0.07647109031677246
Northeast China,Northeast China,5,哈尔滨市,牡丹江市,0.07659537345170975
Northeast China,Eastern Coastal,1,哈尔滨市,北京市,0.07701827585697174
Northeast China,Eastern Coastal,2,长春市,北京市,0.07794448733329773
Northeast China,Eastern Coastal,3,哈尔滨市,上海市,0.07814440131187439
Northeast China,Eastern Coastal,4,沈阳市,北京市,0.07849572598934174
Northeast China,Eastern Coastal,5,沈阳市,上海市,0.07905306667089462
Northeast China,Central China,1,哈尔滨市,张家界市,0.07970011979341507
Northeast China,Central China,2,沈阳市,张家界市,0.0797470435500145
Northeast China,Central China,3,长春市,张家界市,0.08034779131412506
Northeast China,Central China,4,大连市,张家界市,0.08058413118124008
Northeast China,Central China,5,长春市,合肥市,0.08064364641904831
Northeast China,Western China,1,哈尔滨市,西安市,0.07996717840433121
Northeast China,Western China,2,哈尔滨市,成都市,0.08039959520101547
Northeast China,Western China,3,哈尔滨市,重庆市,0.08048922568559647
Northeast China,Western China,4,沈阳市,西安市,0.08060180395841599
Northeast China,Western China,5,长春市,西安市,0.08095424622297287
Eastern Coastal,Northeast China,1,北京市,哈尔滨市,0.07203102856874466
Eastern Coastal,Northeast China,2,北京市,大连市,0.07242273539304733
Eastern Coastal,Northeast China,3,北京市,沈阳市,0.07453987747430801
Eastern Coastal,Northeast China,4,上海市,大连市,0.07489757239818573
Eastern Coastal,Northeast China,5,上海市,哈尔滨市,0.07521743327379227
Eastern Coastal,Eastern Coastal,1,北京市,天津市,0.07018733024597168
Eastern Coastal,Eastern Coastal,2,北京市,上海市,0.07050304114818573
Eastern Coastal,Eastern Coastal,3,上海市,苏州市,0.07078851759433746
Eastern Coastal,Eastern Coastal,4,上海市,杭州市,0.07113713771104813
Eastern Coastal,Eastern Coastal,5,广州市,深圳市,0.07135006040334702
Eastern Coastal,Central China,1,北京市,张家界市,0.07214528322219849
Eastern Coastal,Central China,2,北京市,武汉市,0.07246643304824829
Eastern Coastal,Central China,3,上海市,张家界市,0.07293634861707687
Eastern Coastal,Central China,4,上海市,合肥市,0.0730089396238327
Eastern Coastal,Central China,5,上海市,武汉市,0.0731046199798584
Eastern Coastal,Western China,1,北京市,西安市,0.07156609743833542
Eastern Coastal,Western China,2,北京市,成都市,0.07182294130325317
Eastern Coastal,Western China,3,北京市,重庆市,0.07188165932893753
Eastern Coastal,Western China,4,上海市,重庆市,0.07302369922399521
Eastern Coastal,Western China,5,上海市,西安市,0.073318712413311
Central China,Northeast China,1,武汉市,大连市,0.07878374308347702
Central China,Northeast China,2,郑州市,大连市,0.07889807224273682
Central China,Northeast China,3,武汉市,哈尔滨市,0.07919079065322876
Central China,Northeast China,4,郑州市,哈尔滨市,0.07957581430673599
Central China,Northeast China,5,合肥市,大连市,0.0807308703660965
Central China,Eastern Coastal,1,武汉市,上海市,0.07491815090179443
Central China,Eastern Coastal,2,郑州市,北京市,0.0752371996641159
Central China,Eastern Coastal,3,武汉市,深圳市,0.07525844871997833
Central China,Eastern Coastal,4,合肥市,南京市,0.07535732537508011
Central China,Eastern Coastal,5,郑州市,上海市,0.07558619976043701
Central China,Central China,1,郑州市,洛阳市,0.07192355394363403
Central China,Central China,2,武汉市,襄阳市,0.07277578115463257
Central China,Central China,3,武汉市,宜昌市,0.07309000194072723
Central China,Central China,4,长沙市,张家界市,0.07349814474582672
Central China,Central China,5,郑州市,开封市,0.0739062950015068
Central China,Western China,1,武汉市,重庆市,0.07533551007509232
Central China,Western China,2,郑州市,西安市,0.07556051760911942
Central China,Western China,3,武汉市,成都市,0.07619286328554153
Central China,Western China,4,武汉市,西安市,0.07683099061250687
Central China,Western China,5,郑州市,重庆市,0.07745361328125
Western China,Northeast China,1,成都市,大连市,0.07327486574649811
Western China,Northeast China,2,成都市,沈阳市,0.07550086081027985
Western China,Northeast China,3,成都市,哈尔滨市,0.07582786679267883
Western China,Northeast China,4,成都市,丹东市,0.07933119684457779
Western China,Northeast China,5,西安市,大连市,0.07941392809152603
Western China,Eastern Coastal,1,成都市,北京市,0.07245294004678726
Western China,Eastern Coastal,2,成都市,上海市,0.07273725420236588
Western China,Eastern Coastal,3,成都市,南京市,0.07323084771633148
Western China,Eastern Coastal,4,成都市,天津市,0.07332160323858261
Western China,Eastern Coastal,5,成都市,深圳市,0.07335051149129868
Western China,Central China,1,成都市,张家界市,0.07290215790271759
Western China,Central China,2,成都市,合肥市,0.07378263771533966
Western China,Central China,3,成都市,南昌市,0.07454226166009903
Western China,Central China,4,成都市,武汉市,0.07492697983980179
Western China,Central China,5,成都市,黄山市,0.07553630322217941
Western China,Western China,1,成都市,重庆市,0.07175545394420624
Western China,Western China,2,昆明市,丽江市,0.07329745590686798
Western China,Western China,3,成都市,北海市,0.07356564700603485
Western China,Western China,4,成都市,绵阳市,0.07384143024682999
Western China,Western China,5,成都市,贵阳市,0.0738925114274025
