source_region,target_region,rank,source_city,target_city,distance
东北地区,东北地区,1,哈尔滨市,齐齐哈尔市,0.07585962116718292
东北地区,东北地区,2,沈阳市,大连市,0.0762825533747673
东北地区,东北地区,3,长春市,哈尔滨市,0.07805655151605606
东北地区,东北地区,4,沈阳市,哈尔滨市,0.07841277122497559
东北地区,东北地区,5,大庆市,哈尔滨市,0.07843171805143356
东北地区,东部沿海,1,沈阳市,南京市,0.07897713035345078
东北地区,东部沿海,2,沈阳市,北京市,0.0790499597787857
东北地区,东部沿海,3,沈阳市,上海市,0.07905437052249908
东北地区,东部沿海,4,哈尔滨市,上海市,0.07938621193170547
东北地区,东部沿海,5,哈尔滨市,南京市,0.07945269346237183
东北地区,华中地区,1,沈阳市,张家界市,0.07993242144584656
东北地区,华中地区,2,沈阳市,蚌埠市,0.08013787120580673
东北地区,华中地区,3,沈阳市,郑州市,0.08019667863845825
东北地区,华中地区,4,哈尔滨市,蚌埠市,0.08077295124530792
东北地区,华中地区,5,哈尔滨市,郑州市,0.08088573068380356
东北地区,西部地区,1,沈阳市,西安市,0.07788319140672684
东北地区,西部地区,2,哈尔滨市,西安市,0.0784655511379242
东北地区,西部地区,3,长春市,西安市,0.07906577736139297
东北地区,西部地区,4,沈阳市,成都市,0.07916179299354553
东北地区,西部地区,5,哈尔滨市,成都市,0.07962730526924133
东部沿海,东北地区,1,北京市,哈尔滨市,0.07373515516519547
东部沿海,东北地区,2,北京市,大连市,0.07415729761123657
东部沿海,东北地区,3,上海市,大连市,0.07501953095197678
东部沿海,东北地区,4,北京市,沈阳市,0.07538308948278427
东部沿海,东北地区,5,上海市,哈尔滨市,0.07616125047206879
东部沿海,东部沿海,1,北京市,南京市,0.07225955277681351
东部沿海,东部沿海,2,深圳市,广州市,0.07226371020078659
东部沿海,东部沿海,3,北京市,天津市,0.07229797542095184
东部沿海,东部沿海,4,北京市,上海市,0.07233120501041412
东部沿海,东部沿海,5,北京市,石家庄市,0.07249989360570908
东部沿海,华中地区,1,北京市,郑州市,0.07293647527694702
东部沿海,华中地区,2,北京市,张家界市,0.07342340052127838
东部沿海,华中地区,3,上海市,郑州市,0.07349865138530731
东部沿海,华中地区,4,北京市,蚌埠市,0.0735965222120285
东部沿海,华中地区,5,上海市,蚌埠市,0.07402589172124863
东部沿海,西部地区,1,北京市,西安市,0.07113521546125412
东部沿海,西部地区,2,上海市,西安市,0.07215668261051178
东部沿海,西部地区,3,北京市,成都市,0.07220566272735596
东部沿海,西部地区,4,北京市,重庆市,0.07293164730072021
东部沿海,西部地区,5,上海市,成都市,0.07351672649383545
华中地区,东北地区,1,武汉市,大连市,0.0791550725698471
华中地区,东北地区,2,郑州市,大连市,0.07919420301914215
华中地区,东北地区,3,长沙市,大连市,0.07987679541110992
华中地区,东北地区,4,合肥市,大连市,0.07990017533302307
华中地区,东北地区,5,郑州市,哈尔滨市,0.0801340863108635
华中地区,东部沿海,1,合肥市,南京市,0.07512013614177704
华中地区,东部沿海,2,合肥市,上海市,0.07638854533433914
华中地区,东部沿海,3,郑州市,上海市,0.07703140377998352
华中地区,东部沿海,4,武汉市,南京市,0.07706250250339508
华中地区,东部沿海,5,武汉市,上海市,0.07708976417779922
华中地区,华中地区,1,郑州市,洛阳市,0.07273726910352707
华中地区,华中地区,2,长沙市,张家界市,0.07430320978164673
华中地区,华中地区,3,武汉市,襄阳市,0.07535272091627121
华中地区,华中地区,4,合肥市,黄山市,0.07536670565605164
华中地区,华中地区,5,合肥市,蚌埠市,0.07560010999441147
华中地区,西部地区,1,郑州市,西安市,0.07506343722343445
华中地区,西部地区,2,武汉市,西安市,0.07601919770240784
华中地区,西部地区,3,长沙市,西安市,0.07687488943338394
华中地区,西部地区,4,武汉市,重庆市,0.07701390236616135
华中地区,西部地区,5,合肥市,西安市,0.07711106538772583
西部地区,东北地区,1,成都市,大连市,0.07803650945425034
西部地区,东北地区,2,成都市,哈尔滨市,0.07897557318210602
西部地区,东北地区,3,成都市,沈阳市,0.07950054109096527
西部地区,东北地区,4,重庆市,大连市,0.07951726019382477
西部地区,东北地区,5,西安市,大连市,0.0796407088637352
西部地区,东部沿海,1,成都市,上海市,0.07586722820997238
西部地区,东部沿海,2,成都市,南京市,0.07640868425369263
西部地区,东部沿海,3,成都市,深圳市,0.07677201926708221
西部地区,东部沿海,4,成都市,北京市,0.0768139511346817
西部地区,东部沿海,5,重庆市,上海市,0.07718035578727722
西部地区,华中地区,1,成都市,蚌埠市,0.07560509443283081
西部地区,华中地区,2,重庆市,蚌埠市,0.0772726759314537
西部地区,华中地区,3,成都市,张家界市,0.07734105736017227
西部地区,华中地区,4,成都市,郑州市,0.07738417387008667
西部地区,华中地区,5,西安市,蚌埠市,0.0781482681632042
西部地区,西部地区,1,成都市,重庆市,0.07300233840942383
西部地区,西部地区,2,成都市,西安市,0.07395780086517334
西部地区,西部地区,3,重庆市,成都市,0.07457192242145538
西部地区,西部地区,4,成都市,宜宾市,0.07457830011844635
西部地区,西部地区,5,成都市,绵阳市,0.07460037618875504
