城市/年份,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
北京市,17496190,18886201,17682192,19273307,19194146,14660855,15780375,15460731,16619644,16024605
成都市,12531018,13821965,14246282,28920156,23398279,18184145,17472947,16449720,14816960,14946105
福州市,6897117,7795786,7612583,8373680,9179249,8946755,8752267,9020576,8654610,8812991
广州市,12029817,13360921,12855963,14668555,15908855,12510101,13819967,14247613,13776446,13051808
贵阳市,7487434,8250284,8429565,9934090,10735801,8832272,7724566,9037590,8709294,8428062
哈尔滨市,10827784,12690937,12280938,14293655,13353056,11676232,12924369,12080561,11328254,12088389
海口市,5749679,6435378,6799035,7198816,7681647,6665190,6051157,6833637,6008200,6425148
杭州市,12544433,14054416,14784150,15459345,16248838,13402660,13758829,13545532,12988414,13040258
合肥市,8655898,9754827,10185150,9989539,10767869,9476719,10134900,10253754,9749201,9414827
呼和浩特市,6048754,7126024,7710563,8498335,7774974,6968068,7451082,7478470,7871259,7822405
济南市,7969819,8739825,8715635,10415658,10750863,9852809,9796343,9829748,9447732,9411297
昆明市,12182513,9272397,9091835,10386245,11430444,9773151,12634870,9229857,8839096,8932497
拉萨市,5815437,6545646,6504431,7464879,7905399,7818541,7420372,7073503,6735723,7106788
兰州市,8175841,8736489,9047239,9851702,10052074,9361969,9978807,10093309,9367469,9228738
南昌市,8071630,9801579,9872758,10791877,11050194,10562618,10699649,11044224,10356098,10471424
南京市,14058085,14954186,14916908,16823902,17389812,15113150,15153465,16415032,14341632,14669121
南宁市,8134760,9068627,9980921,10612918,11240964,10490925,10008175,9868462,8919577,9314957
上海市,17688159,19285547,18250711,20372506,20476483,15612247,19228807,17096433,19825801,15453416
沈阳市,8410488,9372722,9635954,10254592,11006673,9513912,10034445,10382589,10119542,9638339
石家庄市,7732159,8448742,9229671,9780619,9582792,9307873,9279730,10757170,9916538,8209835
太原市,6644064,7124819,6870156,7904090,8348599,7826800,7887902,8059958,7731487,7585220
天津市,10373934,15331192,12055941,12816747,13244201,11700016,12109529,11833694,12489520,11014591
乌鲁木齐市,7039184,7008576,7889787,8569065,8162731,7633300,7823396,8094054,8708027,8545226
武汉市,12051346,13269788,13143308,14165029,15005459,14513386,25427935,12349707,11953239,11631076
西安市,13812669,14905483,14497130,17637134,20058733,17519730,18899547,18557458,16563744,16630302
西宁市,6587962,7333918,7334751,8386554,9049634,6972122,8207868,8408327,7836333,8431509
银川市,6307175,7072480,7119163,8238085,8648466,8419515,8014802,8433054,7236179,7526184
长春市,6262981,7120813,7068856,7668170,8165378,7806797,7791649,7928721,8050514,7202824
长沙市,9108017,9541663,9531032,10862472,11262026,10940705,10901510,10915718,10403581,10435000
郑州市,9613837,11016349,11149341,12326936,12756504,10969181,12043313,14070638,12495416,10401691
重庆市,13645734,15456994,14930525,17759302,19239389,15806162,15577936,16003706,15612113,15030826
