城市/年份,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
北京市,34007639,37744242,39640188,41908428,41801041,38560144,36795992,36000472,32548356,37672947
成都市,17796775,22941217,29710562,25609165,24254662,24054321,24526741,22711562,22105309,22098363
福州市,13988792,13240222,13846875,14985715,15148097,14833678,13227319,13292787,12894888,12599301
广州市,24491037,25247005,25147425,27397208,26260067,26025317,23797223,22977746,21734638,21862177
贵阳市,9446559,9923357,10682525,11392964,10926390,10870853,10366608,10497374,9884682,9601845
哈尔滨市,12879229,13665032,14171345,15298382,15044082,14998509,14025868,13727335,13155731,12485093
海口市,8772235,8745052,9407936,9738974,9701767,9490207,8762751,8605253,8320446,8283022
杭州市,22047799,21933596,21238142,27287926,29040765,27042373,25684382,24466463,23699486,23311014
合肥市,17309377,17225435,16451729,16869870,17657517,18068237,16850494,18060811,17541500,17679753
呼和浩特市,10562117,10139606,10087380,10938588,9952231,9897276,8749888,9005457,8666276,8697677
济南市,15562260,16003427,16714281,18879571,17891481,17605167,16242739,17099666,16257717,15559581
昆明市,11915994,11903310,12681728,13221388,13819980,13318649,12600934,12441650,11796544,11863394
拉萨市,2818291,2882404,2699143,2780992,2932464,2900626,2743293,2877703,2606597,2333190
兰州市,10481128,10846309,10690675,11166480,11386787,11335672,10432270,10729044,9934953,9423187
南昌市,13246478,13301239,12297036,13903289,14763415,14065145,13255457,13242887,13204401,13377376
南京市,17429032,17090998,17997468,20891613,20878672,19866125,19290558,19901635,19458431,18920592
南宁市,12211369,11756429,11484960,12741272,13019185,13068926,12710411,12059379,11513194,11547467
上海市,25931857,31454747,32071258,34417301,35247131,33308061,31224038,30833054,29141139,29748469
沈阳市,12367188,13477701,12879416,14920256,16665253,16871214,15497647,15129272,14438034,13904511
石家庄市,14573645,14565338,14127185,15331346,15219267,14628869,14975662,15885319,16292019,16223159
太原市,13020956,12107088,12324596,14213931,14046946,14045207,13166319,12701271,12302334,12181098
天津市,18206598,18627080,18134060,18474124,18708976,17824686,17036799,17208757,16573285,17078612
乌鲁木齐市,9299792,8407359,8728938,8579530,8361490,8308774,7614569,8785351,8630423,8159821
武汉市,18576621,20545760,21062720,22381112,22134450,22101767,20015031,19760689,19524807,19234878
西安市,18070466,18218622,18846626,19471582,19257491,18917942,17688907,17830164,17419270,17794199
西宁市,4863893,5029232,5270147,6092552,6687325,6299709,5896389,5743614,5555215,5282471
银川市,6075842,5856502,6061379,7005402,7221824,7244187,6881787,6752256,6346549,6137984
长春市,11181631,11259687,12372327,13404819,13215401,12727249,12350609,12932653,12285445,11995056
长沙市,15764468,16252061,16119210,18584884,18967548,18386032,17359167,18305389,17738028,17146031
郑州市,21213714,21439584,20263358,22912070,23039704,22054282,19028447,19351441,18685740,18166270
重庆市,14466507,16060249,16697536,19287184,18889958,18525530,18116611,18036436,17537706,17846456
